,0
1565,#myfavmonday
1566,#nba
1567,chi
1568,1u
1569,sas
1570,-2.5
1571,1u
1572,monday's
1573,momentum
1574,ride
1575,wavâ
1576,sad
1577,good
1578,friday
1579,one
1580,capital
1581,police
1582,man
1583,job
1584,lose
1585,life
1586,andâ
1587,""",""rt"
1588,star
1589,magazine
1590,april
1591,2021
1592,#jayb
1593,48
1594,rt
1595,ğÿš
1596,ğÿš
1597,ğÿš
1598,ğÿš
1599,ğÿš
1600,ğÿš
1601,ğÿš
1602,ğÿš
1603,ğÿš
1604,ğÿš
1605,ğÿš
1606,ğÿš
1607,ğÿš
1608,ğÿš
1609,ğÿš
1610,ğÿš
1611,ğÿš
1612,george
1613,floyd
1614,trial
1615,begins
1616,monday
1617,george
1618,floyd
1619,trial
1620,begins
1621,monday
1622,george
1623,floyd
1624,trialâ
1625,rt
1626,#jujutsukaisen
1627,friday
1628,april
1629,women's
1630,history
1631,chain
1632,cannot
1633,hold
1634,us
1635,brother
1636,49
1637,rt
1638,’
1639,’
1640,monday
1641,night
1642,patriot
1643,follow
1644,’
1645,’
1646,know
1647,good
1648,friday
1649,service
1650,online
1651,use
1652,wine
1653,ig
1654,iâ
1655,use
1656,taste
1657,lmao
1658,rt
1659,they're
1660,still
1661,argue
1662,happy
1663,april
1664,fools
1665,everyone
1666,thanks
1667,7k
1668,follower
1669,#metroid35
1670,#samus
1671,#nintendo
1672,#blender3d
1673,httpâ
1674,50
1675,rt
1676,like
1677,tweet
1678,100
1679,winner
1680,choose
1681,60
1682,minute
1683,start
1684,stream
1685,tonight
1686,weâ
1687,giveaway
1688,one
1689,lucky
1690,viewâ
1691,rt
1692,bandcamp
1693,friday
1694,rt
1695,race
1696,report
1697,best
1698,april
1699,foolâ
1700,joke
1701,ever
1702,´
1703,½
1704,‚
1705,#sewellreport
1706,51
1707,week
1708,economic
1709,justice
1710,monday
1711,#plotting
1712,w
1713,crew
1714,tuesday
1715,launch
1716,#ab1177
1717,w
1718,""","
1719,fbfhdudiduud
1720,good
1721,friday
1722,school
1723,anything
1724,rt
1725,april
1726,1st
1727,thereâ
1728,fool
1729,white
1730,house
1731,52
1732,rt
1733,president
1734,trump
1735,statement
1736,monday
1737,march
1738,29
1739,2021
1740,""",""rt"
1741,bandcamp
1742,friday
1743,donâ
1744,anything
1745,new
1746,hereâ
1747,shameless
1748,plug
1749,""",rt"
1750,wonâ
1751,participating
1752,april
1753,fools
1754,today
