,monday_tweets,friday_tweets,april_tweets
50,"RT @DNPthree: Like this tweets for $100 - winner chosen in 60 minutes at start of stream.

Tonight we’re doing giveaways and one lucky view…",RT @Bandcamp: It is Bandcamp Friday.,RT @munyachawawa: The Race Report - best April Fool’s joke ever 🥴🤦🏽‍♂️ #SewellReport https://t.co/6fTas0O3Ta
51,"What a week for economic justice!

Monday- #plotting w/ the @PublicBankSD crew

Tuesday- launch of #AB1177 w/… https://t.co/hoBqlrjpsl",@kazivert fbfhdudiduud its good friday so no school or anything,RT @WatchChad: It’s April 1st and there’s a fool in the White House.
52,"RT @MichaelDeLauzon: PRESIDENT TRUMP STATEMENT
Monday, March 29, 2021 https://t.co/Z8uc7gjC15","RT @incelwarfare: It’s bandcamp Friday again, I don’t have anything new so here’s a shameless plug

https://t.co/NFXpdnqnRb",RT @autumncityxo: Won’t be Participating in April Fools today.. My Bio says Why :( https://t.co/J3gHLiK0yn
53,"RT @gauthie74757302: @Angie_baby_25 Good morning dear Angela, thank you for your wishes and your kind words, I wish you a wonderful monday…",Final Fantasy Friday is live on  https://t.co/2lnQYQOYya come hang out as we start disc 3!,"RT @NCTDREAMCENTER: Vote for #HAECHAN on Duck ad's April ranking!

🗓️ 4/1~4/31, 11:59PM KST
🥇 Lotte cinema hall ad
🥈Subway ad (1 month)
🥉Su…"
54,"RT @SkyeAdventures: Happy Monday friends!! It is chilly here today so all of my muddy puddles are frozen. Bummer! On a positive note, I don…","RT @Thepakeeza: Happy Friday.🥰😍😍😊 
📹 Baby Lovers // Facebook https://t.co/lFu9DjLabT",Who allowed me to flip shit about gym class with an April fools dimple lovebot layout why did y’all leave the kennel open
55,Dwan @ 9:29 pm on a Monday https://t.co/Z0NFkEw3BR,"RT @fakeshoredrive: Happy GOOD Friday

Here’s your yearly reminder that we still need every GOOD Friday release on every streaming platform…",i hate April 1st. like who invented this April's Fools bs?
56,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,RT @AJhapamochi: Happy Friday LA @LAOnAir! Will you please play @BTS_twt #Dynamite for me on your @965TDY #TDYTop8at8 to celebrate? https:/…,"RT @neosixth_ph: APRIL FOOLS GIVEAWAY 😂😉

1 LUCKY WINNER 🎉

 ✨ KAZZ 177 TAY OFF ARM (unsealed)

Rules:

1. RT / Like this tweet
2. Follow u…"
57,It’s only Monday chiiillleee,Tune in now at https://t.co/W5W2wYFfxt for our one-hour Good Friday service. #GoodFriday https://t.co/4W0g6ka9gZ,RT @Badflower: No it’s entirely sad and angry. April truths
58,"RT @aDrive_tK: SPACE PIKACHU and VICTORY ROAD?! Pokemon XENOVERSE Nuzlocke EP26 https://t.co/SSTTGEvUVv

Start your Monday the right way! h…","RT @RichardGrenell: It’s Friday and hope is lost....

Death seems to have won,
Judas has betrayed Him,
His best friend denied Him,
His moth…",April fool's is over
59,"RT @_PapiAce: I met this one girl on Monday, we talked all day and and the next and she wanted pizza from Chicago so that weekend I flew us…","RT @Kofie: ""Aye bro you tryna see Citizen Kane this Friday?""

""Nah bro I can't. I got drafted""",RT @NetflxUpdates: UPDATE: Money Heist. Season 5. April 5. https://t.co/Vh1TUtBTdB
60,"RT @kymmiegwelsh: Happy Monday!

The Wren has a big song for a little bird!
#birds #photography https://t.co/KuhWOQc7IL","RT @SheilaGunnReid: Good Friday at GraceLife. Heavy police presence just off church property. 

This is grotesque https://t.co/3vJVWC4rQV","RT @everyy_Day6: music written/composed/arranged by day6
as of april 2021

#day6 #데이식스 @day6official https://t.co/9aBhdacB7w"
61,I know this is cliche but today was definitely the mondayest Monday ever.  😕,"RT @jaehyeongbald: ✨ friday: skin care day ✨ 
#BlackRoseSelcaDay #brsd #TheRoseSound #TheRose @TheRoseSound https://t.co/OnolPx9ZQS","RT @Nikes11075978: Best look yet at 2021's Air Jordan 5 ""Raging Bull."" Must cop on April 10th?
=&gt;https://t.co/HZWsuJ2QwY https://t.co/N55FN…"
62,"RT @DNPthree: Like this tweets for $100 - winner chosen in 60 minutes at start of stream.

Tonight we’re doing giveaways and one lucky view…",I actually got to watch #TheFalconAndTheWinterSoldier on a Friday ❤️🤍💙,@brianvendramin Thank you - yes - it was unexpected but really good news - so my wife and I are just really gratefu… https://t.co/cdU6ecJo0j
63,"RT @skzinbbl: [210329 18:10 changbin bubble]

: hii
: what're you doing
: are you having a hard time since it's monday?ㅜ

#StrayKids #Chang…","RT @SugarSkullTea: Batch 15 WIP

#1 and #5 have already been pre-claimed! (Pre-claims are only available on my Patreon for the Sugar-addict…","RT @loveperrysk: Welcome to April Katycats
Y'all ready for ""Electric""? ⚡️ https://t.co/1jA3Ufp3WB"
64,Laziest most comfy Monday I’ve had in a while 😊,RT @Sexy_kittykat13: Drop ur fkkn handles 4a Fkkn Friday boost bitches 😆,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
65,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,RT @kydesro: Good Friday Liturgy in the Room Where it Happened™️ https://t.co/DAAkOm6khk,What happened to Happiness? I scroll through April Fools and its filled with twenty somethings whining about April… https://t.co/bGDZi9lFWZ
66,"RT @Roshan_Rinaldi: BREAKING: Racist, Anti-Science Georgia Governor Brian Kemp is in quarantine after recent exposure to an individual who…",RT @soieange: Friday mood https://t.co/d2NsKwurlT,"RT @markbeomnyoung: 210402 Jaebeom for The Star Magazine April 2021 

Upvote and recommend the articles on Naver:
https://t.co/E8MFmLFiyy
h…"
67,"Magret de canard, roasted turmeric cauliflower, duck fat potatoes and a wine orange honey sauce. 
Because, why not… https://t.co/zaXToAju1i",RT @JohnFugelsang: This Good Friday remember that if there was no Death Penalty Jesus might still be around.,"RT @NickFeik: Andrew Quilty breaks significant news here and it mustn’t be ignored. Since the Brereton report, dozens of new claims of kill…"
68,"RT @FriarMario: On Monday of Holy Week, I have remembered you in my morning prayers in front of St Anthony's Tomb, and during my Mass at 7:…","RT @NZArmy: Firepower Friday💥 Join our soldiers in a virtual training area as they fire a Javelin Medium Range Anti Armour Weapon.

Don’t f…",ah april fools you wacky kids i accidentally got too high to leave and get stuff to make dinner so i made a grilled… https://t.co/wBiUGwCnUS
69,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,RT @desusnice: It's Friday. Avoid the bookings beloved,RT @thaboyjozu: It’s April but the only fool is me
70,RT @AndreaDesigns1: ANDREA W DESIGNS BLOG: Monday Twitter Tree hosted by Christie Cottage (Ma... https://t.co/yZYQh1vy75 https://t.co/25YI7…,"RT @im_the_chunk: Hey, it's Bandcamp Friday again—I have $-0.02 right now, and would super super appreciate even one album sale so I don't…","RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
71,"Monday night training. #Bshift
@GaffneyFire @gaffney2400 @GFDTRAINING https://t.co/AVaqviBMIh",friday night funkin corruption https://t.co/JJ190EeIjA,"RT @iiamAstounding: April 1st, we setting monthly goals, staying prayed up &amp; being focused ."
72,Monday’s are for leg meat 🍖 https://t.co/awqRYOrhvZ,RT @MrAndyNgo: The man responsible for the deadly Good Friday Capitol Hill attack was a devout follower of Louis Farrakhan &amp; the black nati…,RT @alaniiik: april fools is tomorrow but these hoes always been a joke to me
73,I sprained my ankle at work today.. how's your Monday been?,"RT @scn_widow: Friday night sushi, jelly beans, and prosecco. Does it get any better than that??",RT @yofancy_: April be good to me❤️
74,"RT @PSPCA: Another Monday, another sad photo of Maxx. On April 21, Maxx will have been in our care for ONE YEAR! Let's find him a home befo…",@wingedisis Did you start with ROYGBIV or assign colors based on personality (I’m sorry I’m very interested in this… https://t.co/LUP4EFNDgN,"CAN NOT WAIT TILL LAW &amp; ORDER 
ORGANIZED CRIME AIRS  APRIL 02,2020"
75,RT @WWE_MandyRose: Monday’s ... #RAW 💜 https://t.co/oTtNSlzgUn,Johnny's Friday evening kip https://t.co/qXJMmjG5NW,"RT @chukaobi: New Burna Boy single this month.
Not a feature, and featuring anybody.

No, it’s not April Fool."
76,RT @Most: another monday. https://t.co/8cMXhPS6tZ,RT @XMISHACROSSX: Happy Friday🌱 https://t.co/1KgpBANsRJ,"RT @triniricanbruja: ✨Mini April Predictions💐

♈︎: conquering fears.
♉︎: unplug and unwind.
♊︎: do things for YOU.
♋︎: you can do it.
♌︎: t…"
77,Why are there so many people at the store??? It's a MONDAY night man,RT @CynthiaSchwind: 🎉🎉Friday Night Raffle 🎉🎉Follow author @frankcottrell_b &amp; retweet by 6pm 4/3 for a chance to win #SputniksGuideToLifeOnE…,RT @StateDept: .@StateDeptSpox: The Department of State is proud to recognize April as National Arab American Heritage Month. Americans of…
78,ONE HOUR TIL CANDLE MAKING MONDAY :D See y'all soon!,RT @grandma_goodie: Take 10 minutes to remember what Good Friday is about in Easter Story #7 Jesus on Trial &amp; Dying on a Cross: Amazing Hap…,"RT @IGN: Jacqueline Rathore, a hair and makeup artist on Netflix's The Witcher, revealed that Season 2's filming is expected to wrap today,…"
79,"RT @TKapetanos: Just a typical Monday for a PD, seeing one of your incoming residents @RKapfumvuti featured in @ForbesMagazlnes 🤯 #TheFutur…","RT @plushieghoul: Meet Ophelia🌸🦇

adoptable friday 4/9 @ 6PM EST!

(read her story below) https://t.co/nTDsTKNQQx",RT @MakoMutt: Reading every tweet on April 1st like https://t.co/ntyOcHbxZO
80,RT @KylieJenner: no filter. happy monday 🤍 https://t.co/hwIZ3IXLNC,RT @JohnFugelsang: This Good Friday remember that if there was no Death Penalty Jesus might still be around.,I swear if this is an April Fools joke..... https://t.co/vPFVak4NSw
81,I love how they explore and connect with nature. They were watching ducks look for food under the water. Unfortunat… https://t.co/FcAN8XsDCv,RT @GatorsDaily: ITS FLAT FUCK FRIDAY!!!! https://t.co/t8BE2CGF8F,RT @TerryMosher1: My wife Mary Hughson (a.k.a. Gigot) has painted this gorgeous Montreal sunrise to cheer us up on this Easter weekend. Loo…
82,RT @BangkokPostNews: Thai authorities forced thousands of refugees fleeing air attacks by the army in neighbouring Myanmar to return to sou…,"RT @mmpadellan: Happy Friday to everyone who hasn't done sex trafficking, tried to pay prostitutes with Apple Pay, and then showed pictures…",RT @withmerrci: April smells like success.
83,RT @Jerusalem_Post: 🏳️‍🌈 #BREAKING: #Arkansas lawmakers passed a measure on Monday that could make the state the 1st in the country to prev…,Happy Friday all https://t.co/2LvjYke95G,@Pantone294 I would’ve laughed if Betts hit that Grand Slam to win it at the end and Dodgers say ‘April Fools’ 😂
84,RT @diarrasylla: Cuz it’s Monday 🧡 https://t.co/JxF5NWKUdu,"Life is literally great
GREAT SEX
AMAZING FRIENDS
LOVING FAMILY 
WORKING HARD... what else could I ask for !!🥰 
HAPPY FRIDAY:,)","RT @BellularGaming: Really funny having incredible news come in on April first.

Should be able to tell you soon! Today ain’t the day thoug…"
85,Golden West College’s Spring Break is this week and no classes will be held. GWC’s offices will be open Monday - Th… https://t.co/lhXvUNo0r4,"California on Friday issued new guidelines allowing for a resumption of attendance at indoor concerts, sporting eve… https://t.co/evMLRyTuSS",RT @sadgirlririh: Im the foo in April fools https://t.co/hnz89osa9l
86,"Happy MONDAY!!!
I spent LAST PM prepping the art materials for next week's art classes- 4/6 and 4/8 9-11AM or 5-7PM… https://t.co/QGeh2AfFJi",RT @YungMiami305: It’s Friday I feel like having fun I wish I can party with y’all ❤️,A hilarious April Fool's prank on my body
87,"Comfy stream for the Monday. https://t.co/h3ruzOfYZS with @SmolAlexKitty 
Stardew Valley! I've never played this be… https://t.co/oJeXzQjGrH",“We wait three days because that’s how long Jesus wanted us to wait. That’s also when he invented the high five” -B… https://t.co/Jb1fjBOMtP,RT @xavierofficials: why have april fools when my whole life is a joke
