,0
1380,shit
1381,funny
1382,year
1383,‚
1384,‚
1385,‚
1386,‚
1387,‚
1388,‚
1389,‚
1390,‚
1391,‚
1392,‚
1393,‚
1394,‚
1395,‚
1396,‚
1397,‚
1398,‚
1399,‚
1400,‚
1401,‚
1402,‚
1403,‚
1404,‚
1405,‚
1406,‚
1407,123
1408,rt
1409,breaking
1410,news
1411,finger
1412,retweets
1413,receive
1414,good
1415,news
1416,month
1417,april
1418,124
1419,shit
1420,deal
1421,april
1422,125
1423,rt
1424,happy
1425,thursday
1426,april
1427,start
1428,pretty
1429,good
1430,woke
1431,full
1432,ms
1433,ask
1434,publisher
1435,thatâ
1436,five
1437,publisher
1438,whâ
1439,126
1440,rt
1441,really
1442,ainâ
1443,see
1444,april
1445,fool
1446,jokesğÿ
1447,‚
1448,‚
1449,‚
1450,mf
1451,dead
1452,serious
1453,shit
1454,funny
1455,year
1456,‚
1457,‚
1458,‚
1459,‚
1460,‚
1461,‚
1462,‚
1463,‚
1464,‚
1465,‚
1466,‚
1467,‚
1468,‚
1469,‚
1470,‚
1471,‚
1472,‚
1473,‚
1474,‚
1475,‚
1476,‚
1477,‚
1478,‚
1479,‚
1480,127
1481,rt
1482,expect
1483,anything
1484,april
1485,fools
1486,day
1487,account
1488,never
1489,post
1490,joke
1491,willâ
1492,128
1493,rt
1494,im
1495,foo
1496,april
1497,fool
1498,129
1499,apologise
1500,grade
1501,april
1502,fooling
1503,130
1504,rt
1505,please
1506,donâ
1507,buy
1508,anything
1509,haha
1510,april
1511,fool
1512,please
1513,go
1514,buy
1515,something
1516,131
1517,rt
1518,thread
1519,funny
1520,april
1521,fool
1522,joke
1523,132
1524,rt
1525,april
1526,133
1527,œapril
1528,fool
1529,reference
1530,casting
1531,announcement
1532,would
1533,like
1534,true
1535,134
1536,rt
1537,hi
1538,april
1539,wish
1540,happie
1541,take
1542,care
1543,please
1544,donâ
1545,cry
1546,›
1547,ğÿª
1548,­
1549,135
1550,rt
1551,way
1552,announce
1553,gta
1554,april
1555,fool
1556,day
1557,wtffğÿ
1558,±
1559,136
1560,one-shot
1561,vaccine
1562,dose
1563,expect
1564,game-changer
1565,california
1566,giant
1567,manufacturing
1568,error
1569,could
1570,cauâ
1571,137
1572,rt
1573,april
1574,fool
1575,holiday
1576,scam
1577,invent
1578,sell
1579,fool
1580,138
1581,rt
1582,praying
1583,april
1584,may
1585,peaceful
1586,month
1587,full
1588,prosperity
1589,blessing
1590,may
1591,new
1592,season
1593,mark
1594,start
1595,positiveâ
1596,139
1597,rt
1598,really
1599,ainâ
1600,see
1601,april
1602,fool
1603,jokesğÿ
1604,‚
1605,‚
1606,‚
1607,mf
1608,dead
1609,serious
1610,shit
1611,funny
1612,year
1613,‚
1614,‚
1615,‚
1616,‚
1617,‚
1618,‚
1619,‚
1620,‚
1621,‚
1622,‚
1623,‚
1624,‚
1625,‚
1626,‚
1627,‚
1628,‚
1629,‚
1630,‚
1631,‚
1632,‚
1633,‚
1634,‚
1635,‚
1636,‚
1637,140
1638,rt
1639,list
1640,april
1641,fool
1642,josh
1643,hawley
1644,ted
1645,cruz
1646,kevin
1647,mccarthy
1648,lindsey
1649,graham
1650,ron
1651,johnson
1652,mo
1653,brooks
1654,jim
1655,œgymâ
1656,jorâ
1657,141
1658,rt
1659,2nd
1660,april
1661,2011
1662,kerr
1663,ronan
1664,25
1665,police
1666,service
1667,northern
1668,ireland
1669,killed
1670,ucbt
1671,outside
1672,home
1673,killyclogher
1674,near
1675,oâ
1676,142
1677,rt
1678,april
1679,foolâ
1680,prank
1681,ever
1682,top
1683,‚
1684,143
1685,watch
1686,pope
1687,francis
1688,hold
1689,easter
1690,sunday
1691,mass
1692,vatican
1693,tune
1694,celebrate
1695,sunday
1696,april
1697,7:30
1698,amâ
1699,144
1700,april
1701,fools
1702,verdansk
1703,hwb
1704,jmob
1705,lfg
1706,145
1707,get
1708,ready
1709,riseup
1710,sports
1711,tournaments
1712,april
1713,24th
1714,boys
1715,girls
1716,4th
1717,12th
1718,"146,3"
1719,thing
1720,lookout
1721,make
1722,sure
1723,donâ
1724,get
1725,prank
1726,april
1727,fools
1728,day
1729,147
1730,rt
1731,happy
1732,april
1733,fool
1734,dont
1735,joke
1736,draw
1737,scary
1738,look
1739,#nobarakugisaki
1740,#jjk
1741,#jujutsukaisenfanaâ
1742,148
1743,ignition
1744,milly
1745,run
1746,april
1747,11th
1748,get
1749,spot
1750,play
1751,one
1752,many
1753,sattelites
1754,run
1755,every
1756,day
1757,signâ
1758,149
1759,rt
1760,april
1761,fool
1762,joke
1763,nessa
1764,drawing
1765,150
1766,rt
1767,wasnâ
1768,good
1769,dog
1770,today
1771,april
1772,fool
1773,good
1774,151
1775,rt
1776,alfred
1777,rough
1778,night
1779,crime
1780,fighting
1781,sir
1782,bruce
1783,alfred
1784,well
1785,happy
1786,know
1787,i've
1788,drawn
1789,bâ
1790,152
1791,rt
1792,april
1793,fool
1794,153
1795,rt
1796,update
1797,travis
1798,scott
1799,x
1800,air
1801,jordan
1802,british
1803,khaki
1804,may
1805,release
1806,april
1807,29th
1808,‘
1809,must
1810,cop
1811,easy
1812,pasâ
1813,154
1814,rt
1815,btc
1816,bitcoin
1817,dominance
1818,update
1819,losing
1820,60
1821,level
1822,take
1823,us
1824,around
1825,57
1826,that's
1827,huge
1828,drop
1829,155
1830,rt
1831,air
1832,jordan
1833,raging
1834,bull
1835,return
1836,april
1837,10
1838,full
1839,family
1840,size
1841,156
1842,rt
1843,mfs
1844,talk
1845,april
1846,fool
1847,like
1848,donâ
1849,lie
1850,every
1851,day
1852,157
1853,rt
1854,look
1855,find
1856,bury
1857,wip
1858,folder
1859,anyone
1860,still
1861,remember
1862,rust
1863,fit
1864,…
1865,forgot
1866,post
1867,andâ
1868,158
1869,rt
1870,happy
1871,april
1872,fool
1873,fool
1874,lose
1875,girl
1876,like
1877,<3
1878,159
1879,rt
1880,april
1881,foolâ
1882,prank
1883,ever
1884,top
1885,‚
1886,160
1887,rt
1888,pornhub
1889,display
1890,message
1891,say
1892,automatically
1893,share
1894,video
1895,watch
1896,social
1897,medium
1898,april
1899,fools
1900,daâ
1901,161
1902,rt
1903,iâ
1904,big
1905,april
1906,foolâ
1907,iâ
1908,post
1909,self
1910,portrait
1911,try
1912,navigate
1913,social
1914,medium
1915,today
1916,‚
1917,â€¦
1918,162
1919,cut
1920,april
1921,fool
1922,stuff
1923,short
1924,jdghbdj
1925,vibe
1926,163
1927,rt
1928,exclusive
1929,#behindthescenes
1930,#hyundaixbts
1931,come
1932,april
1933,2nd
1934,channel
1935,hyundai
1936,weâ
1937,collaboratâ
1938,164
1939,thing
1940,seem
1941,off-kilter
1942,typical
1943,april
1944,fool's
1945,day
1946,#covid-life
1947,general
1948,spend
1949,time
1950,#outsideâ
1951,165
1952,rt
1953,yea
1954,love
1955,april
1956,wanna
1957,e
1958,166
1959,rt
1960,fool
1961,april
1962,1st
1963,get
1964,bichon
1965,#minigame
1966,follow
1967,rt
1968,like
1969,tag
1970,friend
1971,‘
1972,join
1973,#bâ
1974,167
1975,rt
1976,âœ
1977,tgid
1978,thank
1979,god
1980,doyoung
1981,dayâœ
1982,“
1983,†
1984,friday
1985,april
1986,2021
1987,°
1988,theme
1989,doyoung
1990,gongmyung
1991,aaaa
1992,they're
1993,cute
1994,­
1995,­
1996,­
1997,­
1998,­
1999,#nctë
2000,„
2001,ì
2002,168
2003,april
2004,23rd
2005,3:07
2006,pm
2007,buckingham
2008,palaceğÿ
2009,¶
2010,¶
2011,¶
2012,169
2013,dodgers
2014,lose
2015,april
2016,fools
2017,day
2018,joke
2019,yâ
2020,170
2021,rt
2022,check
2023,news
2024,play
2025,april
2026,fools
2027,prank
2028,tell
2029,us
2030,nazi
2031,police
2032,uk
2033,day
2034,goâ
2035,171
2036,rt
2037,april
2038,fools
2039,day
2040,letâ
2041,remember
2042,joke
2043,gop
2044,become
2045,172
2046,rt
2047,april
2048,humans
2049,fool
2050,end
2051,173
2052,rt
2053,use
2054,april
2055,fool
2056,gauge
2057,public
2058,response
2059,new
2060,kin
2061,i'm
2062,work
2063,174
2064,rt
2065,april
2066,fools
2067,day
2068,letâ
2069,remember
2070,joke
2071,gop
2072,become
2073,175
2074,april
2075,fool
2076,day
